ds,y
2010-04-04,9982
2010-04-05,8990
2010-04-06,8848
2010-04-07,8146
2010-04-08,9140
2010-04-09,8524
2010-04-10,6441
2010-04-11,4426
2010-04-12,8141
2010-04-13,9069
2010-04-14,9423
2010-04-15,10268
2010-04-16,10446
2010-04-17,8317
2010-04-18,7140
2010-04-19,9012
2010-04-20,9114
2010-04-21,9400
2010-04-22,7854
2010-04-23,8294
2010-04-24,7709
2010-04-25,6952
2010-04-26,8685
2010-04-27,8960
2010-04-28,8863
2010-04-29,8868
2010-04-30,9040
2010-05-01,7445
2010-05-02,6661
2010-05-03,8806
2010-05-04,8767
2010-05-05,8566
2010-05-06,8714
2010-05-07,8697
2010-05-08,6753
2010-05-09,6782
2010-05-10,9163
2010-05-11,8792
2010-05-12,8598
2010-05-13,6708
2010-05-14,6578
2010-05-15,7245
2010-05-16,6383
2010-05-17,8002
2010-05-18,6512
2010-05-19,6285
2010-05-20,7915
2010-05-21,8393
2010-05-22,7178
2010-05-23,6568
2010-05-24,7653
2010-05-25,8108
2010-05-26,6718
2010-05-27,7245
2010-05-28,6017
2010-05-29,7205
2010-05-30,6299
2010-05-31,7603
2010-06-01,7794
2010-06-02,8172
2010-06-03,8153
2010-06-04,8412
2010-06-05,7060
2010-06-06,6293
2010-06-07,7944
2010-06-08,7582
2010-06-09,7132
2010-06-10,7311
2010-06-11,4930
2010-06-12,1501
2010-06-13,1074
2010-06-14,1490
2010-06-15,3833
2010-06-16,5272
2010-06-17,7573
2010-06-18,7380
2010-06-19,7069
2010-06-20,6292
2010-06-21,8572
2010-06-22,7540
2010-06-23,7636
2010-06-24,6579
2010-06-25,6363
2010-06-26,0
2010-06-27,1775
2010-06-28,0
2010-06-29,7915
2010-06-30,7252
2010-07-01,5085
2010-07-02,4781
2010-07-03,5608
2010-07-04,5446
2010-07-05,0
2010-07-06,6804
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,5108
2010-07-12,6453
2010-07-13,6968
2010-07-14,6801
2010-07-15,6609
2010-07-16,6496
2010-07-17,3564
2010-07-18,5243
2010-07-19,6389
2010-07-20,6718
2010-07-21,7385
2010-07-22,9257
2010-07-23,10752
2010-07-24,9554
2010-07-25,9540
2010-07-26,11804
2010-07-27,9858
2010-07-28,10383
2010-07-29,10889
2010-07-30,10704
2010-07-31,8917
2010-08-01,8212
2010-08-02,11236
2010-08-03,12156
2010-08-04,12829
2010-08-05,12555
2010-08-06,11877
2010-08-07,9155
2010-08-08,9200
2010-08-09,12056
2010-08-10,11998
2010-08-11,11920
2010-08-12,11306
2010-08-13,11644
2010-08-14,8815
2010-08-15,9038
2010-08-16,11546
2010-08-17,11719
2010-08-18,11933
2010-08-19,11253
2010-08-20,10817
2010-08-21,8869
2010-08-22,8599
2010-08-23,12764
2010-08-24,12830
2010-08-25,12066
2010-08-26,12133
2010-08-27,10616
2010-08-28,8625
2010-08-29,9063
2010-08-30,13835
2010-08-31,12782
2010-09-01,13193
2010-09-02,13346
2010-09-03,12210
2010-09-04,9765
2010-09-05,10468
2010-09-06,14320
2010-09-07,16174
2010-09-08,15672
2010-09-09,14511
2010-09-10,12185
2010-09-11,11240
2010-09-12,12792
2010-09-13,18350
2010-09-14,15869
2010-09-15,16853
2010-09-16,15254
2010-09-17,13502
2010-09-18,11072
2010-09-19,13406
2010-09-20,20819
2010-09-21,20064
2010-09-22,21742
2010-09-23,20832
2010-09-24,17694
2010-09-25,14944
2010-09-26,18555
2010-09-27,26867
2010-09-28,23576
2010-09-29,21374
2010-09-30,21093
2010-10-01,18747
2010-10-02,21135
2010-10-03,22226
2010-10-04,32118
2010-10-05,25238
2010-10-06,23250
2010-10-07,23121
2010-10-08,21268
2010-10-09,17312
2010-10-10,19678
2010-10-11,26802
2010-10-12,28575
2010-10-13,24279
2010-10-14,23070
2010-10-15,21440
2010-10-16,18000
2010-10-17,24902
2010-10-18,34932
2010-10-19,28028
2010-10-20,24858
2010-10-21,24507
2010-10-22,23899
2010-10-23,23385
2010-10-24,31398
2010-10-25,39711
2010-10-26,30609
2010-10-27,29273
2010-10-28,57160
2010-10-29,72975
2010-10-30,57715
2010-10-31,112112
2010-11-01,101700
2010-11-02,48655
2010-11-03,35537
2010-11-04,38745
2010-11-05,44975
2010-11-06,57349
2010-11-07,195764
2010-11-08,59830
2010-11-09,32414
2010-11-10,22520
2010-11-11,17055
2010-11-12,13749
2010-11-13,10692
2010-11-14,9428
2010-11-15,11085
2010-11-16,11267
2010-11-17,10676
2010-11-18,10810
2010-11-19,9902
2010-11-20,7704
2010-11-21,7641
2010-11-22,9587
2010-11-23,9635
2010-11-24,9407
2010-11-25,8639
2010-11-26,8784
2010-11-27,7157
2010-11-28,6736
2010-11-29,8874
2010-11-30,8701
2010-12-01,8856
2010-12-02,8330
2010-12-03,8125
2010-12-04,6510
2010-12-05,6235
2010-12-06,7834
2010-12-07,8198
2010-12-08,8144
2010-12-09,7739
2010-12-10,7703
2010-12-11,6269
2010-12-12,6128
2010-12-13,7460
2010-12-14,7702
2010-12-15,7576
2010-12-16,6865
2010-12-17,6357
2010-12-18,5271
2010-12-19,5212
2010-12-20,7313
2010-12-21,8049
2010-12-22,7405
2010-12-23,6645
2010-12-24,5321
2010-12-25,3948
2010-12-26,2461
2010-12-27,3115
2010-12-28,3183
2010-12-29,3370
2010-12-30,3154
2010-12-31,2904
2011-01-01,3247
2011-01-02,3435
2011-01-03,4483
2011-01-04,4636
2011-01-05,4460
2011-01-06,4730
2011-01-07,4120
2011-01-08,2717
2011-01-09,3027
2011-01-10,6104
2011-01-11,7858
2011-01-12,7861
2011-01-13,8139
2011-01-14,7728
2011-01-15,5599
2011-01-16,5813
2011-01-17,7491
2011-01-18,8378
2011-01-19,8655
2011-01-20,8991
2011-01-21,7991
2011-01-22,6465
2011-01-23,6440
2011-01-24,9236
2011-01-25,8434
2011-01-26,8633
2011-01-27,7811
2011-01-28,7903
2011-01-29,6452
2011-01-30,6652
2011-01-31,8680
2011-02-01,8870
2011-02-02,8595
2011-02-03,8033
2011-02-04,7373
2011-02-05,5877
2011-02-06,6799
2011-02-07,8903
2011-02-08,10106
2011-02-09,10523
2011-02-10,9174
2011-02-11,8484
2011-02-12,7153
2011-02-13,8006
2011-02-14,11303
2011-02-15,10214
2011-02-16,9771
2011-02-17,9109
2011-02-18,8070
2011-02-19,6397
2011-02-20,7945
2011-02-21,11020
2011-02-22,10837
2011-02-23,10132
2011-02-24,10588
2011-02-25,8641
2011-02-26,7272
2011-02-27,9474
2011-02-28,15891
2011-03-01,16705
2011-03-02,16723
2011-03-03,15707
2011-03-04,14840
2011-03-05,12023
2011-03-06,17982
2011-03-07,29462
2011-03-08,25241
2011-03-09,26469
2011-03-10,28670
2011-03-11,34278
2011-03-12,58885
2011-03-13,189839
2011-03-14,64981
2011-03-15,28005
2011-03-16,16222
2011-03-17,11191
2011-03-18,8624
2011-03-19,6651
2011-03-20,7761
2011-03-21,10520
2011-03-22,9069
2011-03-23,9170
2011-03-24,8745
2011-03-25,10481
2011-03-26,19837
2011-03-27,29035
2011-03-28,16904
2011-03-29,9105
2011-03-30,7304
2011-03-31,7165
2011-04-01,5784
2011-04-02,7497
2011-04-03,5973
2011-04-04,5889
2011-04-05,4987
2011-04-06,4246
2011-04-07,3881
2011-04-08,3380
2011-04-09,2129
2011-04-10,2285
2011-04-11,3597
2011-04-12,3690
2011-04-13,3293
2011-04-14,3110
2011-04-15,2736
2011-04-16,2058
2011-04-17,2201
